hhpar.beta,0.9675
hhpar.rra,1.5
hhpar.dis_labor,85.0
hhpar.inv_frisch,2.5
rhopar.rho_prod_ar1,0.9183
rhopar.sigma_prod_ar1,0.2976
rhopar.n_prod_ar1,7.0
rhopar.mean_prod_ar1,0.0
fpar.alpha,0.3333333333333333
fpar.delta,0.084
fpar.tfp,1.0
taxes.lambda_y,0.7305
taxes.tau_y,0.1875
taxes.lambda_c,0.85
taxes.tau_c,0.0343
taxes.tau_k,0.352
gpar.a_min,-1.138506930429756
gpar.a_max,300.0
gpar.N_a,400.0
gpar.l_min,0.0
gpar.l_max,1.0
gpar.N_l,150.0
gpar.N_rho,7.0
